[16-04-2023 18:25:37.761] [INFO] Found mod light-overlay-7.0.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.761] [INFO] Found mod gardenofglass-1.11.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.762] [INFO] Found mod PigPen-Fabric-1.19.2-11.1.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.762] [INFO] Found mod Emojiful-Fabric-1.19.2-4.0.4.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.762] [INFO] Found mod AttributeFix-Fabric-1.19.2-17.2.6.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.763] [INFO] Found mod konkrete_fabric_1.6.0_MC_1.19.1-1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.763] [INFO] Found mod ftb-library-fabric-1902.3.17-build.200.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.763] [INFO] Found mod cullleaves-fabric-3.0.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.763] [INFO] Found mod language-reload-1.5.6+1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.764] [INFO] Found mod satin-1.9.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.764] [INFO] Found mod effective-1.4.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.764] [INFO] Found mod spark-1.10.34-fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.764] [INFO] Found mod ftb-teams-fabric-1902.2.13-build.100.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.765] [INFO] Found mod ferritecore-5.0.3-fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.765] [INFO] Found mod YetAnotherConfigLib-2.2.0-for-1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.765] [INFO] Found mod jamlib-0.6.0+1.19.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.765] [INFO] Found mod dashloader-4.1.3+1.19.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.766] [INFO] Found mod inmis-2.7.1-1.19.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.766] [INFO] Found mod fabric-language-kotlin-1.9.3+kotlin.1.8.20.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.766] [INFO] Found mod luggage-1.19-1.5.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.766] [INFO] Found mod BetterAdvancements-Fabric-1.19.2-0.2.2.142.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.767] [INFO] Found mod dragonfight-fabric-1.19.2-2.7.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.767] [INFO] Found mod voidtotem-fabric-1.19.2-2.1.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.767] [INFO] Found mod CreativeCore_FABRIC_v2.9.3_mc1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.767] [INFO] Found mod Enhanced_Celestials-fabric-1.19.2-2.1.0.5.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.767] [INFO] Found mod BetterCompatibilityChecker-Fabric-2.0.2-build.16+mc1.19.1.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.768] [INFO] Found mod ftb-chunks-fabric-1902.3.20-build.257.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.768] [INFO] Found mod ExtendedDrawers-1.3.9+mc.1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.768] [INFO] Found mod ItemPhysic_FABRIC_v1.6.6_mc1.19.2.jar on the drive! Added to Verification queue.
